avg_score	original_tax_id	orig_organism	pref_name	chembl_id	orf	journal	year	volume	issue	first_page	last_page	pubmed_id	doi	title	authors
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2010	20	23	6920	6924	20970331	10.1016/j.bmcl.2010.09.137	Pyrazole derivatives from azines of substituted phenacyl aryl/cyclohexyl sulfides and their antimycobacterial activity.	"Manikannan R, Venkatesan R, Muthusubramanian S, Yogeeswari P, Sriram D."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2010	20	3	1263	1268	20022500	10.1016/j.bmcl.2009.11.105	Synthesis and antituberculosis activity of novel mefloquine-isoxazole carboxylic esters as prodrugs.	"Mao J, Yuan H, Wang Y, Wan B, Pak D, He R, Franzblau SG."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Chem. Res. Toxicol.	2010	23	1	171	183	20014752	10.1021/tx900326k	Cheminformatics analysis of assertions mined from literature that describe drug-induced liver injury in different species.	"Fourches D, Barnes JC, Day NC, Bradley P, Reed JZ, Tropsha A."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Chem. Res. Toxicol.	2010	23	7	1215	1222	20553011	10.1021/tx1000865	Developing structure-activity relationships for the prediction of hepatotoxicity.	"Greene N, Fisk L, Naven RT, Note RR, Patel ML, Pelletier DJ."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Drug Metab. Dispos.	2010	38	12	2302	2308	20843939	10.1124/dmd.110.035113	A predictive ligand-based Bayesian model for human drug-induced liver injury.	"Ekins S, Williams AJ, Xu JJ."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Eur. J. Med. Chem.	2010	45	1	411	422	19850377	10.1016/j.ejmech.2009.09.044	"Novel three-component domino reactions of ketones, isatin and amino acids: synthesis and discovery of antimycobacterial activity of highly functionalised novel dispiropyrrolidines."	"Kumar RS, Rajesh SM, Perumal S, Banerjee D, Yogeeswari P, Sriram D."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	J. Med. Chem.	2010	53	7	2882	2891	20205479	10.1021/jm901858n	"Radiosynthesis and bioimaging of the tuberculosis chemotherapeutics isoniazid, rifampicin and pyrazinamide in baboons."	"Liu L, Xu Y, Shea C, Fowler JS, Hooker JM, Tonge PJ."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2010	54	11	4789	4793	20713679	10.1128/aac.00661-10	Emergence and molecular characterization of extensively drug-resistant Mycobacterium tuberculosis clinical isolates from the Delhi Region in India.	"Khanna A, Raj VS, Tarai B, Sood R, Pareek PK, Upadhyay DJ, Sharma P, Rattan A, Saini KS, Singh H."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2010	54	12	5323	5328	20876380	10.1128/aac.00529-10	Mutually exclusive genotypes for pyrazinamide and 5-chloropyrazinamide resistance reveal a potential resistance-proofing strategy.	"Baughn AD, Deng J, Vilchèze C, Riestra A, Welch JT, Jacobs WR, Zimhony O."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2010	54	3	1068	1074	20038625	10.1128/aac.00447-09	Pharmacokinetics of antituberculosis drugs in pulmonary tuberculosis patients with type 2 diabetes.	"Ruslami R, Nijland HM, Adhiarta IG, Kariadi SH, Alisjahbana B, Aarnoutse RE, van Crevel R."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2010	54	5	2262	2264	20160054	10.1128/aac.01423-09	Fast standardized therapeutic-efficacy assay for drug discovery against tuberculosis.	"Rullas J, García JI, Beltrán M, Cardona PJ, Cáceres N, García-Bustos JF, Angulo-Barturen I."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2010	54	7	2847	2854	20439617	10.1128/aac.01567-09	Clinical and toxicodynamic evidence that high-dose pyrazinamide is not more hepatotoxic than the low doses currently used.	"Pasipanodya JG, Gumbo T."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Drug Discovery Today	2011	16	15-16	697	703	21624500	10.1016/j.drudis.2011.05.007	FDA-approved drug labeling for the study of drug-induced liver injury.	"Chen M, Vijay V, Shi Q, Liu Z, Fang H, Tong W."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem.	2011	19	4	1471	1476	21273083	10.1016/j.bmc.2010.12.054	Synthesis and antimycobacterial properties of N-substituted 6-amino-5-cyanopyrazine-2-carboxamides.	"Zitko J, Dolezal M, Dolezal M, Svobodova M, Vejsova M, Kunes J, Kucera R, Jilek P."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	MedChemComm	2011	2	7	626	630		10.1039/C0MD00239A	"Antimycobacterial activity of spirooxindolo-pyrrolidine, pyrrolizine and pyrrolothiazole hybrids obtained by a three-component regio- and stereoselective 1,3-dipolar cycloaddition"	"Rajesh SM, Perumal S, Menendez JC, Yogeeswari P, Sriram D"
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Med Chem Res	2011	20	9	1611	1615		10.1007/s00044-010-9405-3	"Studies on toxicity of antitubercular drugs namely isoniazid, rifampicin, and pyrazinamide in an in vitro model of HepG2 cell line"	"Singh M, Sasi P, Rai G, Gupta VH, Amarapurkar D, Wangikar PP"
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2011	21	13	3881	3884	21641799	10.1016/j.bmcl.2011.05.032	Synthesis and antimycobacterial activity of highly functionalized tetrahydro-4(1H)-pyridinones.	"Raja VP, Perumal S, Yogeeswari P, Sriram D."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2011	21	14	4316	4319	21665469	10.1016/j.bmcl.2011.05.054	"Synthesis and antitubercular evaluation of amidoalkyl dibenzofuranols and 1H-benzo[2,3]benzofuro[4,5-e][1,3]oxazin-3(2H)-ones."	"Kantevari S, Yempala T, Yogeeswari P, Sriram D, Sridhar B."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2011	21	14	4329	4331	21684158	10.1016/j.bmcl.2011.05.055	Synthesis and evaluation of chromenyl barbiturates and thiobarbiturates as potential antitubercular agents.	"Vijaya Laxmi S, Thirupathi Reddy Y, Suresh Kuarm B, Narsimha Reddy P, Crooks PA, Rajitha B."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2011	21	16	4804	4807	21775138	10.1016/j.bmcl.2011.06.055	"Pyrazinamide, but not pyrazinoic acid, is a competitive inhibitor of NADPH binding to Mycobacterium tuberculosis fatty acid synthase I."	"Sayahi H, Zimhony O, Jacobs WR, Shekhtman A, Welch JT."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2011	21	4	1214	1217	21237641	10.1016/j.bmcl.2010.12.082	Synthesis and antitubercular evaluation of novel substituted aryl and thiophenyl tethered dihydro-6H-quinolin-5-ones.	"Kantevari S, Patpi SR, Sridhar B, Yogeeswari P, Sriram D."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Eur. J. Med. Chem.	2011	46	10	4937	4945	21855181	10.1016/j.ejmech.2011.07.052	New fluorine-containing hydrazones active against MDR-tuberculosis.	"Vav¿íková E, Polanc S, Ko¿evar M, Horváti K, Bosze S, Stola¿íková J, Vávrová K, Vin¿ová J."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Eur. J. Med. Chem.	2011	46	5	1564	1571	21382653	10.1016/j.ejmech.2011.02.003	"Synthesis, antibacterial and antimycobacterial activities of some new 4-aryl/heteroaryl-2,6-dimethyl-3,5-bis-N-(aryl)-carbamoyl-1,4-dihydropyridines."	"Sirisha K, Bikshapathi D, Achaiah G, Reddy VM."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Eur. J. Med. Chem.	2011	46	9	4366	4373	21802797	10.1016/j.ejmech.2011.07.007	"One-pot synthesis of pyrazoline derivatised carbazoles as antitubercular, anticancer agents, their DNA cleavage and antioxidant activities."	"Taj T, Kamble RR, Gireesh TM, Hunnur RK, Margankop SB."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	PLOS Computational Biology	2011	7	12	1	13	22194678	10.1371/journal.pcbi.1002310	Translating clinical findings into knowledge in drug safety evaluation--drug induced liver injury prediction system (DILIps).	"Liu Z, Shi Q, Ding D, Kelly R, Fang H, Tong W."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem.	2012	20	1	137	144	22153872	10.1016/j.bmc.2011.11.020	Synthesis of novel 3-cyclohexylpropanoic acid-derived nitrogen heterocyclic compounds and their evaluation for tuberculostatic activity.	"Gobis K, Foks H, Bojanowski K, Augustynowicz-Kope¿ E, Napiórkowska A."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem.	2012	20	22	6680	6686	23062712	10.1016/j.bmc.2012.09.019	The synthesis and antituberculosis activity of 5'-nor carbocyclic uracil derivatives.	"Matyugina E, Khandazhinskaya A, Chernousova L, Andreevskaya S, Smirnova T, Chizhov A, Karpenko I, Kochetkov S, Alexandrova L."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem.	2012	20	24	7059	7068	23140987	10.1016/j.bmc.2012.10.007	Anti-infective and herbicidal activity of N-substituted 2-aminobenzothiazoles.	"Fajkusova D, Pesko M, Keltosova S, Guo J, Oktabec Z, Vejsova M, Kollar P, Coffey A, Csollei J, Kralova K, Jampilek J."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Med Chem Res	2012	21	10	2744	2748		10.1007/s00044-011-9802-2	"Synthesis, antitubercular and antifungal activities of heteroaryl-substituted oxiranes derived from BaylisHillman adducts"	"Jain S, Babu N, Jetti SR, Shah H, Dhaneria SP"
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Med Chem Res	2012	21	12	4177	4192		10.1007/s00044-011-9950-4	Discovery of 2-(4-cyano-3-trifluoromethylphenyl amino)-4-(4-quinazolinyloxy)-6-piperazinyl(piperidinyl)-s-triazines as potential antibacterial agents	"Patel RV, Kumari P, Rajani DP, Chikhalia KH"
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2012	22	11	3603	3606	22572576	10.1016/j.bmcl.2012.04.048	Synthesis and antimycobacterial activity of prodrugs of sulfur dioxide (SO2).	"Malwal SR, Sriram D, Yogeeswari P, Chakrapani H."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2012	22	14	4807	4809	22726933	10.1016/j.bmcl.2012.05.054	Synthesis and in vitro antitubercular activity of 4-aryl/alkylsulfonylmethylcoumarins as inhibitors of Mycobacterium tuberculosis.	"Jeyachandran M, Ramesh P, Sriram D, Senthilkumar P, Yogeeswari P."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2012	22	24	7426	7430	23151429	10.1016/j.bmcl.2012.10.056	Molecular hybridization of bioactives: synthesis and antitubercular evaluation of novel dibenzofuran embodied homoisoflavonoids via Baylis-Hillman reaction.	"Yempala T, Sriram D, Yogeeswari P, Kantevari S."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2012	22	4	1598	1601	22281187	10.1016/j.bmcl.2011.12.129	"Synthesis and antimycobacterial evaluation of N-substituted 3-aminopyrazine-2,5-dicarbonitriles."	"Zitko J, Jampílek J, Dobrovolný L, Svobodová M, Kune¿ J, Dole¿al M, Dole¿al M."
